freq,amp,phase
0.1,1.53846153846154,-0.521366120872004
0.15,1.53846153846154,1.38433962000755
0.25,1.53846153846154,-3.14087401541794
0.35,1.53846153846154,-1.24198107534761
0.55,1.53846153846154,-2.21949819666566
0.65,1.53846153846154,-2.56141215165287
0.85,1.17647058823529,-1.97128523014945
0.95,1.05263157894737,-0.97037057069462
1.15,0.869565217391304,-0.648629089136893
1.45,0.689655172413793,0.243892732762591
1.55,0.645161290322581,-0.50771583984073
1.85,0.54054054054054,1.16376844349606
